Term|Code|SemanticType
chelation therapy|C0007975|Therapeutic or Preventive Procedure
articular disease|C0022408|Disease or Syndrome
pain|C0030193|Sign or Symptom
immunoglobulin m antibody|C1442155|Immunologic Factor
adverse event|C0877248|Finding
palmar erythema|C0014745|Finding
early diagnosis|C0596473|Diagnostic Procedure
myopathy|C0026848|Disease or Syndrome
transforming growth factor beta|C0040690|Biologically Active Substance
streptococcal infection|C0038395|Disease or Syndrome
lower limb|C0153665|Neoplastic Process
il 6 receptor|C0063717|Receptor
azathioprine|C0004482|Pharmacologic Substance
other therapies|C0418967|Therapeutic or Preventive Procedure
joint fusion|C0003090|Disease or Syndrome
remission induction|C0035052|Therapeutic or Preventive Procedure
increased capillary permeability|C1382398|Finding
upper gi|C0203057|Diagnostic Procedure
joint instability|C0022410|Finding
distraction|C1369039|Therapeutic or Preventive Procedure
endocarditis|C0014118|Disease or Syndrome
stimuli|C0234402|Phenomenon or Process
anti cyclic citrullinated peptide|C1320283|Amino Acid, Peptide, or Protein
folic acid antagonist|C0016411|Pharmacologic Substance
granulomas|C0018188|Pathologic Function
chronic hepatitis b|C0524909|Disease or Syndrome
neutropenia|C0027947|Disease or Syndrome
ability to grip|C0562125|Finding
certolizumab pegol|C1872109|Pharmacologic Substance
basilar invagination|C0032209|Congenital Abnormality
tetracyclines|C1744619|Antibiotic
chronic disease|C0008679|Disease or Syndrome
il 8|C0079633|Amino Acid, Peptide, or Protein
magnets therapy|C0695947|Therapeutic or Preventive Procedure
vitamin d deficiency|C0042870|Disease or Syndrome
tramadol|C0040610|Pharmacologic Substance
aerobic exercise|C0001701|Therapeutic or Preventive Procedure
lupus|C0409974|Disease or Syndrome
pain relief|C0451615|Therapeutic or Preventive Procedure
ischemic heart disease|C0151744|Disease or Syndrome
cyclic citrullinated peptide|C1453915|Amino Acid, Peptide, or Protein
alkaline phosphatase|C0002059|Amino Acid, Peptide, or Protein
systemic symptoms|C2039684|Sign or Symptom
influenza|C0021400|Disease or Syndrome
tb exposure|C0149796|Finding
chemokines|C0282554|Amino Acid, Peptide, or Protein
bands|C0175723|Medical Device
autoimmune diseases|C0004364|Disease or Syndrome
pain management|C0002766|Therapeutic or Preventive Procedure
manipulation|C0947647|Therapeutic or Preventive Procedure
ultrasonography|C0041618|Diagnostic Procedure
maintenance therapy|C0677908|Therapeutic or Preventive Procedure
nausea or abdominal pain|C0151263|Sign or Symptom
gouty tophi|C0221248|Acquired Abnormality
systemic lupus erythematosus|C0024141|Disease or Syndrome
connective tissue diseases|C0009782|Disease or Syndrome
blocking|C0233660|Mental or Behavioral Dysfunction
tense|C0233494|Mental or Behavioral Dysfunction
nsaid treatment|C0746950|Therapeutic or Preventive Procedure
flare|C1517205|Sign or Symptom
nervous system abnormalities|C0497552|Congenital Abnormality
effusion|C0013687|Pathologic Function
alcohol consumption|C0001948|Individual Behavior
atherosclerosis|C0004153|Disease or Syndrome
exacerbated by|C0436331|Finding
cardiac disease|C0018799|Disease or Syndrome
acetaminophen|C0000970|Pharmacologic Substance
warm autoimmune hemolytic anemia|C0272118|Disease or Syndrome
anti inflammatory agents|C0003209|Pharmacologic Substance
enlarged|C1293134|Therapeutic or Preventive Procedure
intra articular injections|C0021488|Therapeutic or Preventive Procedure
cbc with differential|C0545131|Laboratory Procedure
skin symptoms|C0586407|Sign or Symptom
fibrosis|C0016059|Pathologic Function
urinary tract infection|C0042029|Disease or Syndrome
juvenile idiopathic arthritis|C0553662|Disease or Syndrome
autoimmune reaction|C0443146|Pathologic Function
fatigue symptoms|C0439053|Sign or Symptom
cell count|C0007584|Laboratory Procedure
responsible|C1273518|Finding
fc fragment|C0021032|Amino Acid, Peptide, or Protein
overlap syndrome|C0410000|Disease or Syndrome
curcumin|C0010467|Indicator, Reagent, or Diagnostic Aid
massage|C0024875|Therapeutic or Preventive Procedure
fatigue malaise|C0024528|Sign or Symptom
myocardial infarction|C0027051|Disease or Syndrome
hip replacement|C0392806|Therapeutic or Preventive Procedure
splenomegaly|C0038002|Finding
ankle replacement|C0188664|Therapeutic or Preventive Procedure
angina syndrome|C0002962|Sign or Symptom
anemia|C0002871|Disease or Syndrome
tnf therapy|C0279936|Therapeutic or Preventive Procedure
anorexia|C0003123|Disease or Syndrome
depo medrol|C0057476|Pharmacologic Substance
vaccination|C0042196|Therapeutic or Preventive Procedure
acromioclavicular|C0695640|Therapeutic or Preventive Procedure
nulliparous|C0425979|Finding
salivary gland enlargement|C0020569|Pathologic Function
metatarsal pad|C0461780|Medical Device
monoarticular arthritis|C0746617|Disease or Syndrome
macrophage activation syndrome|C1096155|Disease or Syndrome
remission|C0544452|Finding
gold|C0018026|Element, Ion, or Isotope
chest pain|C0008031|Sign or Symptom
pregnancy hypertension|C0565599|Disease or Syndrome
work in|C0557351|Finding
skin cancer melanoma|C0151779|Neoplastic Process
nodular lesions|C1518345|Finding
pneumococcal vaccine|C0358314|Pharmacologic Substance
neck pain|C0007859|Sign or Symptom
revision|C1527075|Therapeutic or Preventive Procedure
biopsy needle|C0181960|Medical Device
polyclonal hypergammaglobulinemia|C0154254|Disease or Syndrome
corticosteroid|C0001617|Pharmacologic Substance
specific antibody|C0443640|Amino Acid, Peptide, or Protein
copper|C0009968|Biologically Active Substance
green tea|C1704263|Organic Chemical
wrist splint|C0728688|Medical Device
lyme disease|C0024198|Disease or Syndrome
heart failure|C0018801|Disease or Syndrome
fish oil|C0016157|Biologically Active Substance
knee replacements|C0086511|Therapeutic or Preventive Procedure
vitamin d|C0042866|Pharmacologic Substance
arthroplasty|C0003893|Therapeutic or Preventive Procedure
combination therapy|C0009429|Therapeutic or Preventive Procedure
bacterial rna|C0035692|Nucleic Acid, Nucleoside, or Nucleotide
purified protein derivative|C0034131|Indicator, Reagent, or Diagnostic Aid
stromelysin|C0164371|Amino Acid, Peptide, or Protein
headache|C0018681|Sign or Symptom
hepatotoxicity|C0235378|Injury or Poisoning
blood lipids|C0596192|Lipid
chronic pain|C0150055|Disease or Syndrome
pharmacological treatment|C0013216|Therapeutic or Preventive Procedure
traction treatment|C1562800|Therapeutic or Preventive Procedure
extended release|C1707968|Biomedical or Dental Material
early detection|C0596473|Diagnostic Procedure
immunomodulators|C1527392|Immunologic Factor
antirheumatic drug|C0003191|Pharmacologic Substance
joints pain|C0003862|Sign or Symptom
whipple disease|C0023788|Disease or Syndrome
falls accidents|C0000924|Injury or Poisoning
surgery knee|C0187769|Therapeutic or Preventive Procedure
paresthesias|C0030554|Sign or Symptom
diathermy|C0012002|Therapeutic or Preventive Procedure
skin erythema|C0041834|Sign or Symptom
synovial thickening|C0410574|Pathologic Function
community acquired pneumonia|C0694549|Disease or Syndrome
nodules subcutaneous|C0151811|Pathologic Function
wrist x rays|C0203240|Diagnostic Procedure
aspirin|C0004057|Pharmacologic Substance
tenosynovitis|C0039520|Disease or Syndrome
indomethacin|C0021246|Pharmacologic Substance
muscle weakness|C0151786|Finding
exposure to coal dust|C2220340|Finding
myelopathy|C0037928|Disease or Syndrome
interstitial nephritis|C0027707|Disease or Syndrome
elevated cholesterol|C0020443|Disease or Syndrome
fall|C0085639|Finding
c reactive protein|C0006560|Amino Acid, Peptide, or Protein
diabetes mellitus|C0011849|Disease or Syndrome
periodontal infection|C0747479|Disease or Syndrome
liver damage|C0151763|Pathologic Function
interferon gamma release assays|C3178802|Laboratory Procedure
activity level|C0683317|Finding
native american|C0886378|Therapeutic or Preventive Procedure
corneal opacity|C0010038|Finding
ulnar deviation of the fingers|C0231679|Finding
x rays|C1306645|Diagnostic Procedure
gu symptoms|C0426317|Sign or Symptom
systemic disease|C0442893|Disease or Syndrome
human parvovirus|C1955655|Disease or Syndrome
rheumatoid factor|C0035448|Amino Acid, Peptide, or Protein
arch support|C0183685|Medical Device
nabumetone|C0068334|Pharmacologic Substance
movement therapy|C0454279|Therapeutic or Preventive Procedure
interleukin 6|C0021760|Amino Acid, Peptide, or Protein
methylprednisolone acetate|C0600901|Pharmacologic Substance
antistreptolysin o titer|C1318462|Laboratory Procedure
subluxation|C0332768|Injury or Poisoning
antigen|C0003320|Immunologic Factor
aspiration of joint|C0204854|Therapeutic or Preventive Procedure
hydrocephaly|C0020255|Disease or Syndrome
dissection|C0012737|Therapeutic or Preventive Procedure
radiculopathy|C0700594|Disease or Syndrome
inflamed joint|C0574941|Finding
antimicrobial|C1136254|Pharmacologic Substance
hyperprolactinemia|C0020514|Disease or Syndrome
rashes|C0015230|Disease or Syndrome
stomatitis|C0038362|Disease or Syndrome
azulfidine en-tabs|C0699547|Pharmacologic Substance
computed tomography|C0040405|Diagnostic Procedure
monoclonal antibodies|C0003250|Immunologic Factor
kidney problems|C0812426|Sign or Symptom
vimentin|C0042666|Biologically Active Substance
steroids|C0038317|Steroid
color doppler ultrasound|C0474781|Diagnostic Procedure
generalized weakness|C0004093|Sign or Symptom
streptolysin o|C0075301|Biologically Active Substance
thromboembolic events|C0857496|Pathologic Function
serum complement|C2229614|Laboratory Procedure
renal disease|C0022658|Disease or Syndrome
disabling disease|C0596452|Disease or Syndrome
worried|C0233481|Finding
entrapment neuropathy|C1510429|Disease or Syndrome
gait|C0016928|Finding
albumin level|C0428519|Laboratory or Test Result
rehabilitation|C0034991|Therapeutic or Preventive Procedure
myelodysplastic syndrome|C0026986|Neoplastic Process
conduction defects|C0264886|Disease or Syndrome
sex hormones|C0036884|Pharmacologic Substance
cytokines|C0079189|Amino Acid, Peptide, or Protein
mask|C0024861|Medical Device
whipple's disease|C0023788|Disease or Syndrome
diffuse inflammation|C0391860|Sign or Symptom
bacterial infections|C0004623|Disease or Syndrome
magnetic resonance imaging|C0024485|Diagnostic Procedure
polyarticular arthritis|C0694562|Disease or Syndrome
sodium aurothiomalate|C0018034|Pharmacologic Substance
recurrent bacterial infections|C1844383|Disease or Syndrome
biosynthesis|C0220781|Biologic Function
matrix metalloproteinase inhibitor|C1513016|Pharmacologic Substance
dynamic splints|C0180570|Medical Device
erythema|C0041834|Sign or Symptom
neovascularization|C0027686|Pathologic Function
mechanical irritation|C1302810|Injury or Poisoning
vascularization|C0027686|Pathologic Function
hand test|C0430763|Diagnostic Procedure
adult onset|C1836537|Finding
needle|C0027551|Medical Device
body weight|C1305866|Diagnostic Procedure
mononeuritis multiplex|C0151295|Disease or Syndrome
antirheumatic drugs|C0003191|Pharmacologic Substance
median nerve compression|C0007286|Disease or Syndrome
injuries|C0175677|Injury or Poisoning
multicentric reticulohistiocytosis|C0311284|Disease or Syndrome
immunoglobulin fc|C0021032|Amino Acid, Peptide, or Protein
acetaminophen - codeine|C2351132|Organic Chemical
mixed connective tissue disease|C0026272|Disease or Syndrome
difficulty|C1299586|Finding
reconstructive surgery|C0524865|Therapeutic or Preventive Procedure
withdrawal|C2825032|Mental or Behavioral Dysfunction
total hip replacements|C0040508|Therapeutic or Preventive Procedure
platelet derived growth factor|C0032200|Biologically Active Substance
nodular hyperplasia|C0020510|Pathologic Function
paraffin|C0030415|Lipid
normal hand|C0578014|Finding
swollen joints|C0152031|Sign or Symptom
mhc class ii protein|C0019630|Amino Acid, Peptide, or Protein
total knee replacement|C0086511|Therapeutic or Preventive Procedure
fear of|C1961839|Finding
distention|C0012359|Pathologic Function
synovectomy|C0185304|Therapeutic or Preventive Procedure
electroconvulsive therapy|C0013806|Therapeutic or Preventive Procedure
long fingers|C1858091|Finding
severe symptoms|C0436345|Finding
regression|C0684320|Pathologic Function
corticosteroids|C0001617|Pharmacologic Substance
human immunoglobulin g|C2702333|Immunologic Factor
dyspepsia|C0013395|Sign or Symptom
hammer toes|C1136179|Anatomical Abnormality
bone marrow abnormal|C0741594|Finding
teratogenic effects|C0232910|Pathologic Function
cell|C1704653|Medical Device
boutonniere deformity|C0158476|Acquired Abnormality
pleural effusions|C0032227|Disease or Syndrome
immune state|C0020964|Finding
active exercise|C0419117|Therapeutic or Preventive Procedure
weight loss|C0043096|Finding
tender pain|C0234233|Sign or Symptom
preterm birth|C0151526|Pathologic Function
energy conservation|C0150210|Individual Behavior
swollen 28 joint count|C2711873|Finding
interferon|C0021747|Pharmacologic Substance
complementary and alternative medicine|C1148475|Therapeutic or Preventive Procedure
exercise counseling|C0375886|Finding
multiplanar reconstruction|C0445054|Therapeutic or Preventive Procedure
stretching exercises|C0600080|Therapeutic or Preventive Procedure
blood pressure|C1271104|Finding
spinal cord compression|C0037926|Disease or Syndrome
corticosteroid use|C0239126|Finding
dna structure|C1511699|Nucleic Acid, Nucleoside, or Nucleotide
cuff|C1706501|Medical Device
rheumatoid nodulosis|C0035450|Pathologic Function
immunosuppressive agents|C0021081|Pharmacologic Substance
myositis|C0027121|Disease or Syndrome
physiotherapy|C0949766|Therapeutic or Preventive Procedure
hand splint|C0409162|Therapeutic or Preventive Procedure
neck stiffness|C0151315|Sign or Symptom
viral hepatitis|C0042721|Disease or Syndrome
constrictive pericarditis|C0031048|Disease or Syndrome
impaired renal function|C0341697|Disease or Syndrome
apheresis|C0005791|Therapeutic or Preventive Procedure
ulnar drift|C0231679|Finding
dislocation|C0012691|Injury or Poisoning
hla dr beta|C0019765|Pharmacologic Substance
antibiotic therapy|C0338237|Therapeutic or Preventive Procedure
systemic sclerosis|C0036421|Disease or Syndrome
cervical spine instability|C0410652|Disease or Syndrome
normochromic normocytic anemia|C0271899|Disease or Syndrome
granulomatous inflammation|C0553697|Pathologic Function
antagonist drugs|C0521880|Pharmacologic Substance
hepatitis b|C0019163|Disease or Syndrome
complete blood counts|C0009555|Laboratory Procedure
radial deviation of the wrist|C0231675|Sign or Symptom
imaging techniques|C0079595|Diagnostic Procedure
myocarditis|C0027059|Disease or Syndrome
regular exercise|C2243091|Therapeutic or Preventive Procedure
atlantoaxial subluxation|C0263905|Anatomical Abnormality
nervous|C0027769|Sign or Symptom
equipment|C1523994|Medical Device
bleeding heart|C1256202|Pharmacologic Substance
imaging|C0079595|Diagnostic Procedure
neurologic sequelae|C0746864|Finding
minimizing pain|C0558256|Therapeutic or Preventive Procedure
left ventricular failure|C0023212|Disease or Syndrome
steroid therapy|C0149783|Therapeutic or Preventive Procedure
paraffin baths|C0179240|Medical Device
loss of weight|C0043096|Finding
leukocytosis|C0750426|Finding
substance addiction|C0038580|Mental or Behavioral Dysfunction
performance|C0597198|Individual Behavior
gastrointestinal irritation|C2697368|Disease or Syndrome
hematocrit|C0018935|Laboratory Procedure
human leukocyte antigen dr4|C0019774|Immunologic Factor
fibrinogen|C0016006|Pharmacologic Substance
antinuclear antibodies|C0003243|Amino Acid, Peptide, or Protein
anemia of chronic disease|C0002873|Disease or Syndrome
motor vehicle accidents|C0000932|Injury or Poisoning
melanoma|C0025202|Neoplastic Process
lack of physical activity|C0086439|Sign or Symptom
acupuncture|C0394664|Therapeutic or Preventive Procedure
tnf receptors|C0077503|Receptor
belching|C0014724|Sign or Symptom
stenosing tenosynovitis|C0158329|Disease or Syndrome
clumsiness|C0233844|Sign or Symptom
periosteal new bone formation|C1834344|Finding
renal amyloidosis|C0268382|Disease or Syndrome
pressure|C0033095|Phenomenon or Process
generalized osteoporosis|C1850194|Finding
false positives|C0205557|Laboratory or Test Result
cyclooxygenase|C0033551|Amino Acid, Peptide, or Protein
invasion|C2699153|Pathologic Function
pharmacological treatments|C0013216|Therapeutic or Preventive Procedure
il 2|C0021756|Amino Acid, Peptide, or Protein
primary endpoint|C2986535|Indicator, Reagent, or Diagnostic Aid
antibodies|C0003241|Immunologic Factor
diclofenac topical gel|C1252196|Clinical Drug
complement|C0009498|Amino Acid, Peptide, or Protein
functional status|C0598463|Finding
caplan's syndrome|C0006915|Disease or Syndrome
force|C0441722|Phenomenon or Process
abnormal test results|C0850610|Finding
joint swelling|C0152031|Sign or Symptom
topical agents|C1644713|Pharmacologic Substance
coronary disease|C0010068|Disease or Syndrome
thrombocytosis|C0836924|Disease or Syndrome
gamma linolenic acid|C0061078|Pharmacologic Substance
persistent anemia|C0741008|Disease or Syndrome
adjunctive|C2825951|Therapeutic or Preventive Procedure
absorption|C2347023|Phenomenon or Process
mycobacterium tuberculosis infection|C0041296|Disease or Syndrome
tocilizumab|C1609165|Immunologic Factor
fatty acids|C0015684|Lipid
ice packs|C0181264|Medical Device
nerve entrapment|C0917811|Disease or Syndrome
dihydroorotate dehydrogenase|C0058099|Amino Acid, Peptide, or Protein
oxaprozin|C0069739|Pharmacologic Substance
butterfly rash|C0277942|Finding
autoimmune disorders|C0004364|Disease or Syndrome
analgesics|C0002771|Pharmacologic Substance
meclofenamate|C1289957|Organic Chemical
pattern of joint involvement|C0427305|Disease or Syndrome
oral contraceptives|C0009905|Pharmacologic Substance
stroke|C0038454|Disease or Syndrome
ankylosis|C0003090|Disease or Syndrome
neurologic deficit|C0521654|Finding
back pain|C0004604|Sign or Symptom
maximum oxygen uptake|C0429693|Finding
reporting laboratory|C0200370|Laboratory Procedure
etanercept|C0717758|Pharmacologic Substance
binding sites|C0005456|Receptor
congestive heart failure|C0018802|Disease or Syndrome
evening primrose|C0874067|Pharmacologic Substance
melanoma skin cancer|C0151779|Neoplastic Process
acute phase response|C0001349|Pathologic Function
transducers|C0040661|Medical Device
triamcinolone hexacetonide|C0077004|Pharmacologic Substance
step width|C2019924|Finding
abatacept|C1619966|Amino Acid, Peptide, or Protein
decreased platelet|C0392386|Finding
septic arthritis|C1692886|Disease or Syndrome
lupus erythematosus|C0409974|Disease or Syndrome
craniofacial abnormalities|C0376634|Congenital Abnormality
insulin|C0021641|Pharmacologic Substance
nodular scleritis|C0339194|Disease or Syndrome
ibuprofen|C0020740|Pharmacologic Substance
body mass index|C0005893|Diagnostic Procedure
rapid onset|C1838994|Finding
cervical subluxation|C1846798|Finding
black currant|C0771400|Organic Chemical
therapeutic exercise|C0452240|Therapeutic or Preventive Procedure
baker cysts|C0032650|Acquired Abnormality
protein|C0033684|Biologically Active Substance
cured disease|C0679252|Finding
health behaviors|C0018687|Individual Behavior
muscle spasms|C0037763|Sign or Symptom
modified release|C1709058|Biomedical or Dental Material
joint aspiration|C0204854|Therapeutic or Preventive Procedure
tendon rupture|C0151937|Injury or Poisoning
creatinine levels|C0428279|Laboratory or Test Result
association|C0596306|Phenomenon or Process
periodic fever|C0015974|Disease or Syndrome
systemic autoimmune disease|C2895206|Disease or Syndrome
panniculitis|C0030326|Disease or Syndrome
cytotoxic t lymphocyte-associated antigen-4|C0111208|Amino Acid, Peptide, or Protein
flurbiprofen|C0016377|Pharmacologic Substance
valvular disease|C3258293|Disease or Syndrome
muscle function|C0517929|Finding
tender 28 joint count|C2711398|Finding
inflammatory arthritis|C0003864|Disease or Syndrome
joint replacement|C0185317|Therapeutic or Preventive Procedure
cancer|C0006826|Neoplastic Process
infusion|C0574032|Therapeutic or Preventive Procedure
function baseline|C0744226|Finding
pathogenesis|C0699748|Pathologic Function
bunion|C0006386|Acquired Abnormality
osteoarthritis|C0029408|Disease or Syndrome
bone marrow depression|C0151773|Disease or Syndrome
homeostasis|C0019868|Biologic Function
balance exercises|C0150219|Therapeutic or Preventive Procedure
vitamin d receptor|C0108082|Receptor
cancers ovarian|C0029925|Neoplastic Process
recurrence|C0034897|Phenomenon or Process
hepatic dysfunction|C0086565|Pathologic Function
lung disease|C0024115|Disease or Syndrome
keratitis|C0022568|Disease or Syndrome
historical|C2004062|Finding
other drugs|C2729346|Pharmacologic Substance
colorectal cancers|C1527249|Neoplastic Process
liver fibrosis|C0239946|Disease or Syndrome
codeine|C0009214|Pharmacologic Substance
eosinophilia|C0014457|Disease or Syndrome
swelling|C0038999|Finding
sputum examination|C0430356|Laboratory Procedure
destruction|C1261381|Therapeutic or Preventive Procedure
alleviate symptoms|C1274136|Therapeutic or Preventive Procedure
pathology|C0919386|Laboratory Procedure
hip surgery|C0596706|Therapeutic or Preventive Procedure
negative rheumatoid factor|C0427391|Laboratory or Test Result
il 1|C0021755|Amino Acid, Peptide, or Protein
contraception|C0700589|Therapeutic or Preventive Procedure
steroid use|C0281991|Individual Behavior
fetal growth restriction|C0015934|Pathologic Function
autoimmune reactions|C0443146|Pathologic Function
disease control|C0920467|Therapeutic or Preventive Procedure
dermatomyositis|C0011633|Disease or Syndrome
erythrocyte sedimentation rate|C0086250|Laboratory Procedure
edema|C0013604|Pathologic Function
cervical spine disease|C1290145|Disease or Syndrome
anti dna|C0282056|Amino Acid, Peptide, or Protein
palpation|C0030247|Diagnostic Procedure
activated t cells|C2174122|Laboratory Procedure
new onset|C0746890|Finding
loss of vision|C0456909|Disease or Syndrome
tissue type|C0019633|Laboratory Procedure
comfort measures|C0150521|Therapeutic or Preventive Procedure
elements|C0013879|Element, Ion, or Isotope
acute phase reactants|C0001347|Biologically Active Substance
benzodiazepines|C0005064|Pharmacologic Substance
tumor necrosis factor alpha blockers|C2170827|Organic Chemical
physical therapies|C0949766|Therapeutic or Preventive Procedure
childhood arthritis|C0553662|Disease or Syndrome
lead|C0023175|Element, Ion, or Isotope
popliteal cysts|C0032650|Acquired Abnormality
cardiovascular problems|C0850760|Sign or Symptom
celecoxib|C0538927|Pharmacologic Substance
double stranded dna|C0311474|Biologically Active Substance
occupational therapy treatment|C1318464|Therapeutic or Preventive Procedure
confusion|C0009676|Mental or Behavioral Dysfunction
transient ischemic attacks|C0007787|Disease or Syndrome
renal failure|C0341697|Disease or Syndrome
inactive disease|C0544452|Finding
malignancy|C0006826|Neoplastic Process
progressive disease|C1335499|Finding
immune complexes|C0003313|Amino Acid, Peptide, or Protein
pain disorder|C0391976|Mental or Behavioral Dysfunction
anencephaly|C0002902|Congenital Abnormality
hepatitis b core antibody|C0312631|Amino Acid, Peptide, or Protein
noninflammatory|C0442743|Finding
hla dr|C0019764|Amino Acid, Peptide, or Protein
conjunctivitis|C0009763|Disease or Syndrome
strengthening exercises|C0452260|Therapeutic or Preventive Procedure
hyperplasia|C0020507|Pathologic Function
atrophy|C0333641|Pathologic Function
hypotension|C0020649|Finding
iron|C0302583|Biologically Active Substance
glucose levels|C0428548|Laboratory or Test Result
patient died|C1306577|Finding
balanitis circinata|C0275547|Disease or Syndrome
kinases|C0031727|Amino Acid, Peptide, or Protein
pass|C2828386|Finding
diclofenac|C0012091|Pharmacologic Substance
rheumatism|C0035435|Disease or Syndrome
elevated ferritin|C0743912|Finding
cox 2 inhibitor|C1257954|Pharmacologic Substance
x ray|C1306645|Diagnostic Procedure
penicillamine|C0030817|Pharmacologic Substance
skin ulcers|C0037299|Disease or Syndrome
amplification|C1521871|Phenomenon or Process
indicator|C1704416|Medical Device
golimumab|C2353893|Amino Acid, Peptide, or Protein
balance|C0560184|Finding
herbal medicines|C2240391|Pharmacologic Substance
polyunsaturated fatty acids|C0032615|Lipid
rheumatoidlike arthritis|C0597908|Disease or Syndrome
normal results|C0459422|Finding
tendon repair|C0565350|Therapeutic or Preventive Procedure
elevated c-reactive protein|C2216280|Finding
hyperemesis|C0235250|Sign or Symptom
glasses|C0015421|Medical Device
vaccines|C0042210|Pharmacologic Substance
angina|C0002962|Sign or Symptom
autoimmune|C0443146|Pathologic Function
cox 2 inhibitors|C1257954|Pharmacologic Substance
aspirin free|C0718691|Pharmacologic Substance
malaise and fatigue|C0024528|Sign or Symptom
tnf alpha|C0041368|Amino Acid, Peptide, or Protein
patient examined|C0420616|Finding
class ii histocompatibility antigens|C0019630|Amino Acid, Peptide, or Protein
discomfort|C0234215|Sign or Symptom
dependence|C0439857|Mental or Behavioral Dysfunction
fish oils|C0016157|Biologically Active Substance
tuberculosis|C0041296|Disease or Syndrome
hyperplastic|C0020507|Pathologic Function
tolerance|C0013220|Finding
anti hbc|C0312631|Amino Acid, Peptide, or Protein
testing - visual|C0042793|Diagnostic Procedure
hallux valgus|C0018536|Anatomical Abnormality
decreased range of motion|C0231589|Finding
keratoderma blennorrhagicum|C0022594|Disease or Syndrome
quadriplegia|C0034372|Disease or Syndrome
rubella|C0035920|Disease or Syndrome
biological agents|C2979985|Pharmacologic Substance
vitamins|C0042890|Vitamin
intervention|C1948041|Therapeutic or Preventive Procedure
tenosynovectomy|C0185306|Therapeutic or Preventive Procedure
tumor necrosis factors|C0041368|Amino Acid, Peptide, or Protein
rhubarb|C0304561|Pharmacologic Substance
anginal pain|C0002962|Sign or Symptom
blood test|C0018941|Laboratory Procedure
injection site|C0221208|Injury or Poisoning
antigens|C0003320|Immunologic Factor
igm rheumatoid factor|C0487459|Amino Acid, Peptide, or Protein
capsule|C0006935|Biomedical or Dental Material
cardiac insufficiency|C0018801|Disease or Syndrome
redness|C0332575|Finding
slow disease progression|C1854494|Finding
life threatening|C2826244|Finding
rheumatoid nodule|C0035450|Pathologic Function
joint injury|C0409497|Injury or Poisoning
live vaccines|C0042211|Pharmacologic Substance
night pain|C0234255|Sign or Symptom
latex agglutination|C0023117|Laboratory Procedure
reactive arthritis|C0085435|Disease or Syndrome
hepatitis b reactivation|C1142420|Disease or Syndrome
osteopenia|C0029453|Pathologic Function
biologic therapy|C0005527|Therapeutic or Preventive Procedure
genu valgus|C0576093|Anatomical Abnormality
asymptomatic|C0231221|Finding
interleukin 1|C0021755|Amino Acid, Peptide, or Protein
serum glucose|C0202041|Laboratory Procedure
serologic tests|C0036743|Laboratory Procedure
normal erythrocyte sedimentation rate|C0427682|Finding
pregnancy normal|C0232989|Finding
iron deficiency anemia|C0162316|Disease or Syndrome
hardened arteries|C0425680|Finding
blood loss|C0019080|Pathologic Function
nail changes|C0234909|Finding
magnetic resonance imaging scan|C0024485|Diagnostic Procedure
dyspnea|C0013404|Sign or Symptom
joint problems|C0575044|Finding
abnormal liver function|C0086565|Pathologic Function
autoimmune process|C0443146|Pathologic Function
zoster vaccine|C1720918|Immunologic Factor
gonococcal arthritis|C0153216|Disease or Syndrome
retinopathy|C0035309|Disease or Syndrome
low white blood cell count|C0948695|Finding
urethritis|C0041976|Disease or Syndrome
hypogammaglobulinemia|C0086438|Disease or Syndrome
latent tuberculosis|C1609538|Disease or Syndrome
fibroblast growth factor|C0016026|Biologically Active Substance
creatinine level|C0428279|Laboratory or Test Result
fenoprofen|C0015837|Pharmacologic Substance
inflammation joints|C0003864|Disease or Syndrome
therapeutic agents|C1611640|Pharmacologic Substance
skin ulceration|C0037299|Disease or Syndrome
serology test|C0036743|Laboratory Procedure
skin lesions|C0037284|Disease or Syndrome
analgesia|C0002766|Therapeutic or Preventive Procedure
gastrointestinal|C1559265|Finding
emotional|C0849912|Finding
cyclosporine|C0010592|Pharmacologic Substance
killed vaccines|C0042212|Pharmacologic Substance
full blood count|C0009555|Laboratory Procedure
reiter's disease|C0035012|Disease or Syndrome
prednisolone|C0032950|Pharmacologic Substance
herpes zoster|C0019360|Disease or Syndrome
chronic inflammation|C0021376|Pathologic Function
contracture|C0009917|Acquired Abnormality
tissue damage|C0010957|Injury or Poisoning
enteric coated tablets|C0039226|Biomedical or Dental Material
quality of life|C0518214|Finding
small molecules|C1328819|Organic Chemical
